Timestamp,CPU%,MemoryMB,GPU%,GPUMemoryMB
2025-10-27 15:42:18,92,18865,55,2425
2025-10-27 15:42:20,93,18982,0,2425
2025-10-27 15:42:23,94,19257,0,2425
2025-10-27 15:42:25,98,19513,0,2425
2025-10-27 15:42:27,94,18888,67,2425
2025-10-27 15:42:29,91,18955,0,2425
2025-10-27 15:42:32,93,19000,0,2425
2025-10-27 15:42:34,98,19425,0,2425
2025-10-27 15:42:36,96,18976,24,2425
2025-10-27 15:42:38,96,18843,49,2425
2025-10-27 15:42:41,100,19040,0,2425
2025-10-27 15:42:43,98,19301,0,2425
2025-10-27 15:42:45,94,19561,0,2425
2025-10-27 15:42:47,92,18994,72,2425
2025-10-27 15:42:50,100,18921,0,2425
2025-10-27 15:42:52,99,19225,0,2425
2025-10-27 15:42:54,91,19456,0,2425
2025-10-27 15:42:57,94,18927,35,2425
2025-10-27 15:42:59,99,18832,36,2425
2025-10-27 15:43:01,100,18971,0,2425
2025-10-27 15:43:03,94,19403,0,2425
2025-10-27 15:43:06,100,18930,0,2425
2025-10-27 15:43:08,92,18888,72,2425
2025-10-27 15:43:10,94,19035,0,2425
2025-10-27 15:43:13,95,19284,0,2425
2025-10-27 15:43:15,98,19560,0,2425
2025-10-27 15:43:17,98,18981,72,2425
2025-10-27 15:43:19,92,19064,0,2425
2025-10-27 15:43:22,91,19196,0,2425
2025-10-27 15:43:24,100,19434,0,2425
2025-10-27 15:43:26,100,19018,7,2425
2025-10-27 15:43:28,100,18958,0,2425
2025-10-27 15:43:31,95,19111,0,2425
2025-10-27 15:43:33,93,19502,0,2425
2025-10-27 15:43:35,93,18700,0,2425
2025-10-27 15:43:38,91,18798,42,2425
2025-10-27 15:43:40,95,18930,0,2425
2025-10-27 15:43:42,96,19358,0,2425
2025-10-27 15:43:44,91,19603,0,2425
2025-10-27 15:43:47,94,18733,72,2425
2025-10-27 15:43:49,92,18943,0,2425
2025-10-27 15:43:51,92,19094,0,2425
2025-10-27 15:43:53,94,19447,0,2425
2025-10-27 15:43:56,100,18878,68,2425
2025-10-27 15:43:58,95,18804,2,2425
2025-10-27 15:44:00,100,19044,0,2425
2025-10-27 15:44:03,99,19340,0,2425
2025-10-27 15:44:05,97,18880,3,2425
2025-10-27 15:44:07,100,18791,62,2425
2025-10-27 15:44:09,99,19050,0,2425
2025-10-27 15:44:12,95,19328,0,2425
2025-10-27 15:44:14,94,19418,0,2425
2025-10-27 15:44:16,97,18736,70,2425
2025-10-27 15:44:18,95,18977,0,2425
2025-10-27 15:44:21,95,19210,0,2425
2025-10-27 15:44:23,100,19503,0,2425
2025-10-27 15:44:25,100,18976,58,2425
2025-10-27 15:44:27,94,19051,0,2425
2025-10-27 15:44:30,91,19281,0,2425
2025-10-27 15:44:32,91,19544,0,2425
2025-10-27 15:44:34,100,18952,0,2425
2025-10-27 15:44:37,94,18919,8,2425
2025-10-27 15:44:39,94,19128,0,2425
2025-10-27 15:44:41,97,19511,0,2425
2025-10-27 15:44:43,93,19285,0,2425
2025-10-27 15:44:46,97,18977,55,2425
2025-10-27 15:44:48,98,19047,0,2425
2025-10-27 15:44:50,99,19343,0,2425
2025-10-27 15:44:52,98,19730,0,2425
2025-10-27 15:44:55,100,18897,71,2425
2025-10-27 15:44:57,100,18998,0,2425
2025-10-27 15:44:59,91,19234,0,2425
2025-10-27 15:45:02,98,19580,0,2425
2025-10-27 15:45:04,98,19052,42,2425
2025-10-27 15:45:06,98,19073,21,2425
2025-10-27 15:45:08,95,19260,0,2425
2025-10-27 15:45:11,96,19557,0,2425
2025-10-27 15:45:13,91,19816,0,2425
2025-10-27 15:45:15,96,19087,0,2425
2025-10-27 15:45:18,91,19340,0,2425
2025-10-27 15:45:20,97,19605,0,2425
2025-10-27 15:45:22,95,18967,37,2425
2025-10-27 15:45:24,100,19041,29,2425
2025-10-27 15:45:27,99,19125,0,2425
2025-10-27 15:45:29,94,19520,0,2425
2025-10-27 15:45:31,100,18857,0,2425
2025-10-27 15:45:33,99,18895,65,2425
2025-10-27 15:45:36,96,18967,0,2425
2025-10-27 15:45:38,91,19415,0,2425
2025-10-27 15:45:40,97,19428,0,2425
2025-10-27 15:45:43,100,18947,71,2425
2025-10-27 15:45:45,96,19068,0,2425
2025-10-27 15:45:47,94,19385,0,2425
2025-10-27 15:45:49,99,19633,0,2425
